player_id,stagione,nome,ruolo,ruolo_mantra,squadra,quotazione_attuale,quotazione_iniziale,diff_quotazione,fvm,ceduto,indice_finale,rank_ruolo,totale_ruolo,rank_generale,totale_generale,performance_score,reliability_score,forma_attuale_score,titolarita_score,presenze_pesate,fantamedia,media_voto,presenze_totali,presenza_pct,presenze_medie,gol_stagione,assist_stagione,gs_stagione,rigori_parati,varianza_voto,varianza_gol,ammonizioni,espulsioni,titolarita,is_titolare,infortunato,desc_infortunio,squalificato,rigorista_pos,punizioni_pos,updated_at
5685,2026-27,Koopmeiners,C,C;T,JUVENTUS,7,5,2,15,False,56.51,48.0,191.0,122.0,560.0,42.55,73.5,45.58,79.34,30.15,6.75,6.16,153,67.1,25.5,5.0,2.5,0.0,0.0,0.511,0.256,4.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4459,2026-27,Rovella,C,M;C,LAZIO,7,6,1,16,False,46.64,75.0,191.0,199.0,560.0,30.11,51.53,35.71,55.0,20.9,6.04,6.07,112,49.1,18.7,0.2,1.8,0.0,0.0,0.27,0.026,5.2,0.3,panchina,False,True,"problema muscolare al polpaccio, rientro prima metà di ottobre",False,,1.0,2026-09-09T13:29:56.628602+00:00
5504,2026-27,Coulibaly L.,C,M;C,LECCE,7,6,1,17,False,48.14,72.0,191.0,193.0,560.0,22.47,65.6,27.89,86.53,32.88,6.01,5.93,165,72.4,27.5,1.2,0.8,0.0,0.0,0.315,0.137,4.3,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6593,2026-27,Akinsanmiro,C,C,MONZA,7,6,1,11,False,32.2,117.0,191.0,333.0,560.0,22.84,26.5,39.8,21.71,8.25,5.88,5.84,25,21.9,8.3,0.0,0.7,0.0,0.0,0.265,0.0,0.7,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6666,2026-27,Bernabè,C,C,PARMA,7,7,0,34,False,63.1,29.0,191.0,81.0,560.0,60.29,62.87,15.31,41.97,15.95,6.45,6.2,53,46.5,17.7,1.3,0.7,0.0,0.0,0.263,0.102,0.3,0.0,panchina,False,True,"problema fisico, da valutare per Como",False,3.0,1.0,2026-09-09T13:29:56.628602+00:00
6190,2026-27,Pisilli,C,C,ROMA,7,5,2,19,False,51.12,61.0,191.0,168.0,560.0,45.08,48.79,41.16,36.05,13.7,6.36,6.05,48,42.1,16.0,1.7,1.7,0.0,0.0,0.386,0.123,3.3,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
6680,2026-27,Karlstrom,C,M;C,UDINESE,7,6,1,20,False,43.79,78.0,191.0,217.0,560.0,19.05,46.08,41.16,57.5,21.85,5.89,5.92,75,65.8,25.0,0.3,0.7,0.0,0.0,0.277,0.026,5.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6783,2026-27,Unai Gomez,C,T,UDINESE,7,7,0,16,False,12.54,171.0,191.0,499.0,560.0,0.0,0.0,11.22,0.0,0.0,5.5,5.5,1,2.6,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,titolare,True,False,,False,,3.0,2026-09-09T13:29:56.628602+00:00
5946,2026-27,Sow,C,M;C,GENOA,7,7,0,15,False,11.92,172.0,191.0,500.0,560.0,0.0,0.0,15.31,0.0,0.0,5.75,5.75,2,5.3,2.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4479,2026-27,Elmas,C,W;T,ATALANTA,7,7,0,22,False,50.61,63.0,191.0,173.0,560.0,32.89,53.3,11.22,56.55,21.49,6.48,6.03,117,51.3,19.5,2.7,1.7,0.0,0.0,0.301,0.222,2.0,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
